score	frequency	year
115	51	2022
116	51	2022
117	46	2022
118	47	2022
119	45	2022
120	43	2022
121	38	2022
122	35	2022
123	42	2022
124	41	2022
125	31	2022
126	28	2022
127	32	2022
128	21	2022
129	19	2022
130	19	2022
131	20	2022
132	24	2022
133	20	2022
134	14	2022
135	12	2022
136	11	2022
137	6	2022
138	9	2022
139	7	2022
140	6	2022
141	4	2022
142	5	2022
144	5	2022
145	1	2022
146	2	2022
149	1	2022
150	1	2022
152	1	2022
153	1	2022
157	1	2022
158	1	2022
87	1	2023
90	2	2023
92	1	2023
94	2	2023
95	4	2023
96	5	2023
97	5	2023
98	4	2023
99	6	2023
100	8	2023
101	13	2023
102	15	2023
103	12	2023
104	17	2023
105	15	2023
106	21	2023
107	17	2023
108	30	2023
109	21	2023
110	27	2023
111	35	2023
112	54	2023
113	50	2023
114	42	2023
115	42	2023
116	55	2023
117	51	2023
118	47	2023
119	57	2023
120	39	2023
121	59	2023
122	50	2023
123	47	2023
124	44	2023
125	35	2023
126	43	2023
127	29	2023
128	46	2023
129	34	2023
130	32	2023
131	17	2023
132	25	2023
133	20	2023
134	22	2023
135	13	2023
136	15	2023
137	14	2023
138	12	2023
139	11	2023
140	8	2023
141	7	2023
142	8	2023
143	6	2023
144	4	2023
145	2	2023
146	1	2023
147	2	2023
149	1	2023
150	3	2023
151	2	2023
153	2	2023
157	1	2023
176	1	2023
